zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured
112739618,PA,Pennsylvania,"59421 E 301st Rd, Grove, OK 74344",59421 E 301st Rd,Grove,74344,580000,"$580,000 ",4,2,2300,36.580288,-94.820435,House for sale,SINGLE_FAMILY,0,556000,https://www.zillow.com/homedetails/59421-E-301st-Rd-Grove-OK-74344/112739618_zpid/,FALSE,,FALSE
22112898,PA,Pennsylvania,"5606 S Trenton Ave, Tulsa, OK 74105",5606 S Trenton Ave,Tulsa,74105,289500,"$289,500 ",5,3,3047,36.082294,-95.96837,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/5606-S-Trenton-Ave-Tulsa-OK-74105/22112898_zpid/,TRUE,2026-02-08T14:00:00,FALSE
21964753,PA,Pennsylvania,"7917 S Linn Ave, Oklahoma City, OK 73159",7917 S Linn Ave,Oklahoma City,73159,159900,"$159,900 ",3,2,1858,35.38692,-97.560646,House for sale,SINGLE_FAMILY,122,,https://www.zillow.com/homedetails/7917-S-Linn-Ave-Oklahoma-City-OK-73159/21964753_zpid/,FALSE,,FALSE
78472341,PA,Pennsylvania,"628 Cranton Dr, Chickasha, OK 73018",628 Cranton Dr,Chickasha,73018,200000,"$200,000 ",5,4,5356,35.01824,-97.93868,House for sale,SINGLE_FAMILY,6,195800,https://www.zillow.com/homedetails/628-Cranton-Dr-Chickasha-OK-73018/78472341_zpid/,FALSE,,FALSE
245289803,PA,Pennsylvania,"7109 SW 122nd St, Oklahoma City, OK 73173",7109 SW 122nd St,Oklahoma City,73173,624900,"$624,900 ",5,3,3324,35.345734,-97.637115,House for sale,SINGLE_FAMILY,24,620200,https://www.zillow.com/homedetails/7109-SW-122nd-St-Oklahoma-City-OK-73173/245289803_zpid/,FALSE,,FALSE
21980379,PA,Pennsylvania,"11608 Kings Cir, Oklahoma City, OK 73162",11608 Kings Cir,Oklahoma City,73162,210000,"$210,000 ",3,3,2341,35.588634,-97.65995,House for sale,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/11608-Kings-Cir-Oklahoma-City-OK-73162/21980379_zpid/,FALSE,,FALSE
434051010,PA,Pennsylvania,"9001 N 137th East Ave, Owasso, OK 74055",9001 N 137th East Ave,Owasso,74055,399900,"$399,900 ",4,3,2963,36.284554,-95.82139,House for sale,SINGLE_FAMILY,4,393200,https://www.zillow.com/homedetails/9001-N-137th-East-Ave-Owasso-OK-74055/434051010_zpid/,FALSE,,FALSE
78498897,PA,Pennsylvania,"809 Whippoorwill Ct, Bartlesville, OK 74006",809 Whippoorwill Ct,Bartlesville,74006,180000,"$180,000 ",4,3,2373,36.74017,-95.94171,House for sale,SINGLE_FAMILY,0,,https://www.zillow.com/homedetails/809-Whippoorwill-Ct-Bartlesville-OK-74006/78498897_zpid/,FALSE,,FALSE
21957948,PA,Pennsylvania,"2620 Lost Trail Rd, Edmond, OK 73012",2620 Lost Trail Rd,Edmond,73012,425000,"$425,000 ",3,3,2861,35.656063,-97.51872,House for sale,SINGLE_FAMILY,3,414100,https://www.zillow.com/homedetails/2620-Lost-Trail-Rd-Edmond-OK-73012/21957948_zpid/,FALSE,,FALSE
22004664,PA,Pennsylvania,"8741 Saint George Way, Midwest City, OK 73110",8741 Saint George Way,Midwest City,73110,75000,"$75,000 ",1,1,833,35.46573,-97.37531,Townhouse for sale,TOWNHOUSE,1,80500,https://www.zillow.com/homedetails/8741-Saint-George-Way-Midwest-City-OK-73110/22004664_zpid/,FALSE,,FALSE
22274196,PA,Pennsylvania,"3741 E 108th St S, Tulsa, OK 74137",3741 E 108th St S,Tulsa,74137,475000,"$475,000 ",4,3,2665,36.007732,-95.93374,House for sale,SINGLE_FAMILY,23,,https://www.zillow.com/homedetails/3741-E-108th-St-S-Tulsa-OK-74137/22274196_zpid/,FALSE,,FALSE
22038202,PA,Pennsylvania,"521 Partridge Ln, Edmond, OK 73034",521 Partridge Ln,Edmond,73034,375000,"$375,000 ",4,4,2456,35.671673,-97.472946,House for sale,SINGLE_FAMILY,1,371100,https://www.zillow.com/homedetails/521-Partridge-Ln-Edmond-OK-73034/22038202_zpid/,FALSE,,FALSE
22145958,PA,Pennsylvania,"7421 S Fulton Pl, Tulsa, OK 74136",7421 S Fulton Pl,Tulsa,74136,469000,"$469,000 ",4,3,3256,36.055534,-95.91489,House for sale,SINGLE_FAMILY,35,451900,https://www.zillow.com/homedetails/7421-S-Fulton-Pl-Tulsa-OK-74136/22145958_zpid/,FALSE,,FALSE
21962185,PA,Pennsylvania,"3100 NW 61st St, Oklahoma City, OK 73112",3100 NW 61st St,Oklahoma City,73112,365000,"$365,000 ",4,3,2390,35.533978,-97.57011,House for sale,SINGLE_FAMILY,2,359800,https://www.zillow.com/homedetails/3100-NW-61st-St-Oklahoma-City-OK-73112/21962185_zpid/,FALSE,,FALSE
86137972,PA,Pennsylvania,"100299 S 4632nd Rd, Sallisaw, OK 74955",100299 S 4632nd Rd,Sallisaw,74955,150000,"$150,000 ",4,2,2252,35.561417,-94.76885,House for sale,SINGLE_FAMILY,51,,https://www.zillow.com/homedetails/100299-S-4632nd-Rd-Sallisaw-OK-74955/86137972_zpid/,FALSE,,FALSE
460344561,PA,Pennsylvania,"430 N 8th Ave, Purcell, OK 73080",430 N 8th Ave,Purcell,73080,115000,"$115,000 ",3,1,1038,35.017834,-97.37021,House for sale,SINGLE_FAMILY,0,,https://www.zillow.com/homedetails/430-N-8th-Ave-Purcell-OK-73080/460344561_zpid/,FALSE,,FALSE
22055908,PA,Pennsylvania,"28275 Harrison Rd, Macomb, OK 74852",28275 Harrison Rd,Macomb,74852,229900,"$229,900 ",4,2,2013,35.154552,-96.9138,House for sale,SINGLE_FAMILY,86,223800,https://www.zillow.com/homedetails/28275-Harrison-Rd-Macomb-OK-74852/22055908_zpid/,FALSE,,FALSE
114775407,PA,Pennsylvania,"2389 Timberlane Ridge Rd, Sand Springs, OK 74063",2389 Timberlane Ridge Rd,Sand Springs,74063,330000,"$330,000 ",4,2,1952,36.192345,-96.09493,House for sale,SINGLE_FAMILY,131,329200,https://www.zillow.com/homedetails/2389-Timberlane-Ridge-Rd-Sand-Springs-OK-74063/114775407_zpid/,FALSE,,FALSE
133395246,PA,Pennsylvania,"6001 Sandyhill Rd, Choctaw, OK 73020",6001 Sandyhill Rd,Choctaw,73020,270000,"$270,000 ",3,2,1820,35.533028,-97.27291,House for sale,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/6001-Sandyhill-Rd-Choctaw-OK-73020/133395246_zpid/,FALSE,,FALSE
454808297,PA,Pennsylvania,"3133 E 68th St, Tulsa, OK 74136",3133 E 68th St,Tulsa,74136,799000,"$799,000 ",4,5,4243,36.06424,-95.941345,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/3133-E-68th-St-Tulsa-OK-74136/454808297_zpid/,FALSE,,FALSE
318603813,PA,Pennsylvania,"30485 S 4537th Rd, Afton, OK 74331",30485 S 4537th Rd,Afton,74331,425000,"$425,000 ",3,2,1600,36.57613,-94.92155,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/30485-S-4537th-Rd-Afton-OK-74331/318603813_zpid/,FALSE,,FALSE
21738613,PA,Pennsylvania,"310 Redwing Dr, Norman, OK 73026",310 Redwing Dr,Norman,73026,399800,"$399,800 ",3,3,2314,35.21486,-97.3612,House for sale,SINGLE_FAMILY,64,392300,https://www.zillow.com/homedetails/310-Redwing-Dr-Norman-OK-73026/21738613_zpid/,FALSE,,FALSE
21726300,PA,Pennsylvania,"3631 60th Ave NE, Norman, OK 73026",3631 60th Ave NE,Norman,73026,329900,"$329,900 ",3,2,1705,35.26268,-97.352646,House for sale,SINGLE_FAMILY,22,320900,https://www.zillow.com/homedetails/3631-60th-Ave-NE-Norman-OK-73026/21726300_zpid/,FALSE,,FALSE
21977330,PA,Pennsylvania,"5204 NW 16th St, Oklahoma City, OK 73127",5204 NW 16th St,Oklahoma City,73127,599000,"$599,000 ",3,4,4212,35.485558,-97.61078,House for sale,SINGLE_FAMILY,5,571800,https://www.zillow.com/homedetails/5204-NW-16th-St-Oklahoma-City-OK-73127/21977330_zpid/,FALSE,,FALSE
21962753,PA,Pennsylvania,"7901 Eagle Wood Dr, Oklahoma City, OK 73150",7901 Eagle Wood Dr,Oklahoma City,73150,425000,"$425,000 ",4,3,2658,35.38771,-97.30737,House for sale,SINGLE_FAMILY,4,424100,https://www.zillow.com/homedetails/7901-Eagle-Wood-Dr-Oklahoma-City-OK-73150/21962753_zpid/,FALSE,,FALSE
52537768,PA,Pennsylvania,"103 Aspen Dr, Yukon, OK 73099",103 Aspen Dr,Yukon,73099,205000,"$205,000 ",3,2,1108,35.4931,-97.74015,House for sale,SINGLE_FAMILY,2,201500,https://www.zillow.com/homedetails/103-Aspen-Dr-Yukon-OK-73099/52537768_zpid/,FALSE,,FALSE
22257524,PA,Pennsylvania,"1905 W Indianola St, Broken Arrow, OK 74012",1905 W Indianola St,Broken Arrow,74012,265000,"$265,000 ",3,2,1895,36.045677,-95.81033,House for sale,SINGLE_FAMILY,30,,https://www.zillow.com/homedetails/1905-W-Indianola-St-Broken-Arrow-OK-74012/22257524_zpid/,FALSE,,FALSE
444857277,PA,Pennsylvania,"532 Loop Dr, Sand Springs, OK 74063",532 Loop Dr,Sand Springs,74063,200000,"$200,000 ",3,2,1373,36.144215,-96.13102,House for sale,SINGLE_FAMILY,2,197100,https://www.zillow.com/homedetails/532-Loop-Dr-Sand-Springs-OK-74063/444857277_zpid/,TRUE,2026-02-08T13:00:00,FALSE
22226778,PA,Pennsylvania,"9752 S Lakewood Ave, Tulsa, OK 74137",9752 S Lakewood Ave,Tulsa,74137,375000,"$375,000 ",5,4,3456,36.02106,-95.909676,House for sale,SINGLE_FAMILY,43,372300,https://www.zillow.com/homedetails/9752-S-Lakewood-Ave-Tulsa-OK-74137/22226778_zpid/,TRUE,2026-02-08T14:00:00,FALSE
86108764,PA,Pennsylvania,"9223 W 2nd Ave, Stillwater, OK 74074",9223 W 2nd Ave,Stillwater,74074,409900,"$409,900 ",3,3,2429,36.12088,-97.183395,House for sale,SINGLE_FAMILY,3,391400,https://www.zillow.com/homedetails/9223-W-2nd-Ave-Stillwater-OK-74074/86108764_zpid/,FALSE,,FALSE
68346967,PA,Pennsylvania,"19108 Finn Ridge Rd, Purcell, OK 73080",19108 Finn Ridge Rd,Purcell,73080,189999,"$189,999 ",4,2,2156,34.988457,-97.53157,Home for sale,MANUFACTURED,37,,https://www.zillow.com/homedetails/19108-Finn-Ridge-Rd-Purcell-OK-73080/68346967_zpid/,FALSE,,FALSE
21797800,PA,Pennsylvania,"9001 S Coltrane Rd, Guthrie, OK 73044",9001 S Coltrane Rd,Guthrie,73044,375000,"$375,000 ",2,1,1348,35.785885,-97.44419,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/9001-S-Coltrane-Rd-Guthrie-OK-73044/21797800_zpid/,FALSE,,FALSE
459995444,PA,Pennsylvania,"3903 W Ithica Pl, Broken Arrow, OK 74012",3903 W Ithica Pl,Broken Arrow,74012,549000,"$549,000 ",4,4,2682,36.022446,-95.83621,House for sale,SINGLE_FAMILY,11,,https://www.zillow.com/homedetails/3903-W-Ithica-Pl-Broken-Arrow-OK-74012/459995444_zpid/,FALSE,,FALSE
53803245,PA,Pennsylvania,"4350 Deer Xing, Edmond, OK 73025",4350 Deer Xing,Edmond,73025,319999,"$319,999 ",4,2,2004,35.74833,-97.54024,House for sale,SINGLE_FAMILY,2,319300,https://www.zillow.com/homedetails/4350-Deer-Xing-Edmond-OK-73025/53803245_zpid/,TRUE,2026-02-08T14:00:00,FALSE
459230374,PA,Pennsylvania,"14219 S 241st East Ave, Coweta, OK 74429",14219 S 241st East Ave,Coweta,74429,600000,"$600,000 ",5,4,2959,35.957752,-95.707565,House for sale,SINGLE_FAMILY,43,598300,https://www.zillow.com/homedetails/14219-S-241st-East-Ave-Coweta-OK-74429/459230374_zpid/,FALSE,,FALSE
123334118,PA,Pennsylvania,"9754 N 510th Rd, Tahlequah, OK 74464",9754 N 510th Rd,Tahlequah,74464,439900,"$439,900 ",3,2,1782,36.034428,-94.97469,House for sale,SINGLE_FAMILY,3,428200,https://www.zillow.com/homedetails/9754-N-510th-Rd-Tahlequah-OK-74464/123334118_zpid/,FALSE,,FALSE
